lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q4734462,8,SSC60012,Alonnah
http://www.wikidata.org/entity/Q4766841,8,SSC10060,Anna Bay
http://www.wikidata.org/entity/Q4924208,8,SSC20256,Blairgowrie
http://www.wikidata.org/entity/Q4941224,8,SSC20277,Bonbeach
http://www.wikidata.org/entity/Q4997689,8,SSC10687,Bungwahl
http://www.wikidata.org/entity/Q5023895,8,SSC30496,Caloundra West
http://www.wikidata.org/entity/Q5032842,8,SSC20464,Cannons Creek
http://www.wikidata.org/entity/Q5167541,8,SSC30691,Coolum Beach
http://www.wikidata.org/entity/Q5172055,8,SSC40309,Corny Point
http://www.wikidata.org/entity/Q5184368,8,SSC11114,Crescent Head
http://www.wikidata.org/entity/Q5308257,8,SSC20782,Dromana
http://www.wikidata.org/entity/Q5374858,8,SSC50485,Emu Point
http://www.wikidata.org/entity/Q5404976,8,SSC11445,Ettalong Beach
http://www.wikidata.org/entity/Q5450178,8,SSC20914,Fingal
http://www.wikidata.org/entity/Q5604802,8,SSC11769,Greenwell Point
http://www.wikidata.org/entity/Q5922480,8,SSC60279,Howrah
http://www.wikidata.org/entity/Q6035243,8,SSC50668,Innaloo
http://www.wikidata.org/entity/Q6772155,8,SSC12498,Marmong Point
http://www.wikidata.org/entity/Q6909459,8,SSC31930,Morayfield
http://www.wikidata.org/entity/Q7055562,8,SSC12992,North Haven
http://www.wikidata.org/entity/Q7115185,8,SSC32260,Oxenford
http://www.wikidata.org/entity/Q7208162,8,SSC51243,Point Samson
http://www.wikidata.org/entity/Q7230825,8,SSC41192,Port Noarlunga
http://www.wikidata.org/entity/Q7304892,8,SSC13334,Red Rock
http://www.wikidata.org/entity/Q7368107,8,SSC22187,Capel Sound
http://www.wikidata.org/entity/Q7398600,8,SSC51308,Safety Bay
http://www.wikidata.org/entity/Q7416203,8,SSC60579,Sandford
http://www.wikidata.org/entity/Q7824240,8,SSC22537,Tootgarook
http://www.wikidata.org/entity/Q7983581,8,SSC22737,Werribee South
http://www.wikidata.org/entity/Q12736890,8,SSC12997,North Manly
http://www.wikidata.org/entity/Q14934809,8,SSC11658,Glendale
http://www.wikidata.org/entity/Q14935459,8,SSC31532,Kewarra Beach
http://www.wikidata.org/entity/Q14935810,8,SSC50637,Hillman
http://www.wikidata.org/entity/Q16893158,8,SSC31505,Karragarra Island
http://www.wikidata.org/entity/Q19879693,8,SSC32735,Sweers Island
http://www.wikidata.org/entity/Q21884049,8,SSC41097,Parham
http://www.wikidata.org/entity/Q21884505,8,SSC41176,Port Augusta West
http://www.wikidata.org/entity/Q21893480,8,SSC40406,Encounter Bay
http://www.wikidata.org/entity/Q21896049,8,SSC50653,Horrocks
http://www.wikidata.org/entity/Q57278,9,SSC12949,Newcastle
http://www.wikidata.org/entity/Q57278,9,UCL102004,Newcastle
http://www.wikidata.org/entity/Q6430738,9,SSC12190,Kooragang Island
http://www.wikidata.org/entity/Q6450896,9,SSC12226,Kyeemagh
http://www.wikidata.org/entity/Q6478848,9,SSC50819,Lakelands
http://www.wikidata.org/entity/Q6693719,9,SSC12412,Lower Portland
http://www.wikidata.org/entity/Q6956861,9,SSC12885,Nabiac
http://www.wikidata.org/entity/Q7017516,9,SSC12951,Newcastle West
http://www.wikidata.org/entity/Q7230738,9,SSC51249,Port Kennedy
http://www.wikidata.org/entity/Q7352963,9,SSC51289,Robinson
http://www.wikidata.org/entity/Q7355472,9,SSC32474,Rocklea
http://www.wikidata.org/entity/Q7374689,9,SSC41269,Royal Park
http://www.wikidata.org/entity/Q7428689,9,SSC13498,Sawtell
http://www.wikidata.org/entity/Q7592432,9,SSC22322,St Andrews Beach
http://www.wikidata.org/entity/Q7969670,9,SSC51518,Warnbro
http://www.wikidata.org/entity/Q7985684,9,SSC41555,West Lakes Shore
http://www.wikidata.org/entity/Q12064298,9,SSC41025,Noarlunga Centre
http://www.wikidata.org/entity/Q14935598,9,SSC33187,Woorim
